name,city_id,start_year,end_year,capacity,active_ind
Adelaide Oval,1,2011.0,2022.0,53500.0,True
M.C.G.,4,1897.0,2022.0,100024.0,True
S.C.G.,6,1903.0,2022.0,48000.0,True
Gabba,11,1981.0,2022.0,41974.0,True
Manuka Oval,29,1998.0,2022.0,16000.0,True
Jiangwan Stadium,31,2017.0,2019.0,12000.0,False
Riverway Stadium,50,2019.0,2019.0,10000.0,False
Victoria Park,4,1897.0,1999.0,10000.0,False
Windy Hill,4,1922.0,1991.0,10000.0,False
Glenferrie Oval,4,1925.0,1973.0,10000.0,False
Toorak Park,4,1942.0,1943.0,7000.0,False
Yarraville Oval,4,1942.0,1942.0,6000.0,False
Alberton Oval,1,,,11000.0,False
Flinders University Stadium,1,,,10000.0,False
Glenelg Oval,1,,,14000.0,False
Hisense Stadium,1,,,9000.0,False
Norwood Oval,1,,,15000.0,False
Prospect Oval,1,,,20000.0,False
Thebarton Oval,1,,,15000.0,False
Unley Oval,1,,,10000.0,False
Willaston Oval,1,,,5000.0,False
Woodville Oval,1,,,11000.0,False
Albury Sports Ground,2,,,8000.0,False
Lavington Sports Ground,2,,,12000.0,False
Allinsure Park,3,,,8000.0,False
Arden Street Oval,4,,,4000.0,False
Avalon Airport Oval,4,,,8000.0,False
Brunswick Street Oval,4,,,10000.0,False
Camberwell Sports Ground,4,,,5000.0,False
Casey Fields,4,,,9000.0,False
Central Reserve,4,,,6000.0,False
Downer Oval,4,,,6000.0,False
Elsternwick Park,4,,,10000.0,False
ETU Stadium,4,,,6000.0,False
Highgate Recreation Reserve,4,,,5000.0,False
Holm Park Recreation Reserve,4,,,7000.0,False
Ikon Park,4,,,21176.0,False
Linen House Oval,4,,,1500.0,False
Marvel Stadium,4,,,56347.0,False
Olympic Park Oval,4,,,3000.0,False
Piranha Park,4,,,12000.0,False
Preston City Oval,4,,,8000.0,False
Punt Road Oval,4,,,2000.0,False
RSEA Park,4,,,8000.0,False
Shepley Oval,4,,,4000.0,False
Skinner Reserve,4,,,10000.0,False
SkyBus Stadium,4,,,6000.0,False
The Hangar,4,,,2000.0,False
Trevor Barker Beach Oval,4,,,8000.0,False
VU Whitten Oval,4,,,10000.0,False
Ballarat City Oval,5,,,10000.0,False
Eastern Oval,5,,,10000.0,False
Mars Stadium,5,,,11000.0,False
Bankstown Oval,6,,,8000.0,False
Blacktown International Sportspark,6,,,10000.0,False
Bruce Purser Reserve,6,,,4000.0,False
Drummoyne Oval,6,,,5500.0,False
Giants Stadium,6,,,24000.0,False
Henson Park,6,,,30000.0,False
North Sydney Oval,6,,,16000.0,False
Sydney University Football Ground,6,,,2500.0,False
Tom Wills Oval,6,,,3000.0,False
Bennett Oval,7,,,8000.0,False
Blue Lake Sports Park,8,,,8000.0,False
Malseed Park,8,,,7500.0,False
Vansittart Park,8,,,5000.0,False
Blundstone Arena,9,,,19500.0,False
North Hobart Oval,9,,,10000.0,False
Queenborough Oval,9,,,8000.0,False
TCA Ground,9,,,8000.0,False
Boyer Oval,10,,,5000.0,False
Brighton Homes Arena,11,,,10000.0,False
Giffin Park,11,,,5000.0,False
Graham Road Oval,11,,,3000.0,False
Hickey Park,11,,,4000.0,False
South Pine Sports Complex,11,,,3000.0,False
C.ex Coffs International Stadium,12,,,10000.0,False
Cazalys Stadium,13,,,13500.0,False
Centenary Oval,14,,,7500.0,False
Centennial Park Oval,15,,,5000.0,False
Centennial Stadium,16,,,8000.0,False
Collingwood Park,16,,,8000.0,False
Central Park,17,,,10000.0,False
Central Reserve Colac,18,,,10000.0,False
Claremont Oval,19,,,5000.0,False
Cockburn ARC,19,,,3000.0,False
East Fremantle Oval,19,,,15000.0,False
Fremantle Oval,19,,,10000.0,False
HBF Arena Joondalup,19,,,12500.0,False
Lark Hill Sportsplex,19,,,5000.0,False
Leederville Oval,19,,,10000.0,False
Mineral Resources Park,19,,,6500.0,False
Optus Stadium,19,,,61266.0,False
Deakin Reserve,20,,,10000.0,False
Devonport Oval,21,,,10000.0,False
Dial Regional Sports Complex,22,,,3000.0,False
Encounter Bay Oval,23,,,,False
Exies Oval,24,,,7500.0,False
Fankhauser Reserve,25,,,8000.0,False
Kombumerri Park,25,,,6500.0,False
Metricon Stadium,25,,,22500.0,False
GMHBA Stadium,26,,,36000.0,False
Gold Park,27,,,7000.0,False
Heritage Oval,27,,,8000.0,False
Great Barrier Reef Arena,28,,,7500.0,False
Gungahlin Enclosed Oval,29,,,5000.0,False
Hands Oval,30,,,10000.0,False
Kadina Oval,32,,,9000.0,False
KGV Oval,33,,,18000.0,False
Kingston Twin Ovals,34,,,7000.0,False
Lane Group Stadium,35,,,9000.0,False
Latrobe Recreation Ground,36,,,9000.0,False
Maroochydore Multisports Complex,37,,,5000.0,False
Memorial Oval,38,,,7500.0,False
Mildura Sporting Precinct,39,,,5000.0,False
Quandong Park,39,,,10000.0,False
Moreton Bay Central Sports Complex,40,,,6500.0,False
Morwell Recreation Reserve,41,,,10000.0,False
Narrandera Sportsground,42,,,14000.0,False
Newcastle No.1 Sportsground,43,,,15000.0,False
Norm Minns Oval,44,,,11000.0,False
North Dalton Park,45,,,5500.0,False
NTCA Ground,46,,,10000.0,False
UTAS Stadium,46,,,19000.0,False
Oakes Oval,47,,,8500.0,False
Queen Elizabeth Oval,48,,,10000.0,False
Renmark Oval,49,,,5000.0,False
Robertson Oval,51,,,9000.0,False
Sky Stadium (NZ),52,,,34500.0,False
Sounness Park,53,,,5000.0,False
Summit Sports & Recreation Park,53,,,2000.0,False
Strathalbyn Oval,54,,,8000.0,False
Ted Summerton Reserve,55,,,7500.0,False
TIO Stadium,56,,,12500.0,False
TIO Traeger Park,57,,,7200.0,False
Ulverstone Football Ground,58,,,9000.0,False
West Park Oval,59,,,12000.0,False
Yea Recreation Reserve,60,,,4000.0,False
