name,stadiums
Adelaide,Adelaide Oval
Brisbane Lions,Gabba
Carlton,Marvel Stadium
Collingwood,M.C.G.
Essendon,Marvel Stadium
Fremantle,Optus Stadium
Geelong,GMHBA Stadium
Gold Coast,Metricon Stadium
Greater Western Sydney,"Giants Stadium, Manuka Oval"
Hawthorn,"M.C.G., UTAS Stadium"
Melbourne,M.C.G.
North Melbourne,"Marvel Stadium, Blundstone Arena"
Port Adelaide,Adelaide Oval
Richmond,M.C.G.
St Kilda,Marvel Stadium
Sydney,S.C.G.
West Coast,Optus Stadium
Western Bulldogs,Marvel Stadium
