,venue_name,in_use,start_year,end_year,stadium_id
0,M.C.G.,1897-2022,1897,2022,1
1,Princes Park,1897-2005,1897,2005,2
2,Docklands,2000-2022,2000,2022,3
3,Victoria Park,1897-1999,1897,1999,4
4,Junction Oval,1897-1984,1897,1984,5
5,Waverley Park,1970-1999,1970,1999,6
6,Lake Oval,1897-1981,1897,1981,7
7,Kardinia Park,1941-2022,1941,2022,8
8,Western Oval,1925-1997,1925,1997,9
9,Windy Hill,1922-1991,1922,1991,10
10,Brunswick St,1897-1966,1897,1966,11
11,Subiaco,1987-2017,1987,2017,12
12,Punt Rd,1908-1964,1908,1964,13
13,Arden St,1925-1985,1925,1985,14
14,Football Park,1991-2013,1991,2013,15
15,Glenferrie Oval,1925-1973,1925,1973,16
16,S.C.G.,1903-2022,1903,2022,17
17,Gabba,1981-2022,1981,2022,18
18,Corio Oval,1897-1940,1897,1940,19
19,Moorabbin Oval,1965-1992,1965,1992,20
20,Carrara,1987-2022,1987,2022,21
21,East Melbourne,1897-1921,1897,1921,22
22,Adelaide Oval,2011-2022,2011,2022,23
23,Perth Stadium,2018-2022,2018,2022,24
24,Sydney Showground,2012-2022,2012,2022,25
25,York Park,2001-2022,2001,2022,26
26,W.A.C.A.,1987-2000,1987,2000,27
27,Stadium Australia,2002-2022,2002,2022,28
28,Manuka Oval,1998-2022,1998,2022,29
29,Bellerive Oval,2012-2022,2012,2022,30
30,Marrara Oval,2004-2022,2004,2022,31
31,Cazaly's Stadium,2011-2022,2011,2022,32
32,Toorak Park,1942-1943,1942,1943,33
33,Eureka Stadium,2017-2022,2017,2022,34
34,Coburg Oval,1965,1965,1965,35
35,Traeger Park,2014-2022,2014,2022,36
36,Yarraville Oval,1942,1942,1942,37
37,North Hobart,1952-1992,1952,1992,38
38,Jiangwan Stadium,2017-2019,2017,2019,39
39,Wellington,2013-2015,2013,2015,40
40,Olympic Park,1932,1932,1932,41
41,Riverway Stadium,2019,2019,2019,42
42,Blacktown,2012,2012,2012,43
43,Bruce Stadium,1995,1995,1995,44
44,Brisbane Exhibition,1952,1952,1952,45
45,Euroa,1952,1952,1952,46
46,Yallourn,1952,1952,1952,47
47,Albury,1952,1952,1952,48
